# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10635
#@/user_id	e20759ef-d2df-41e6-b751-89c12cbdc2a3
a 	啊	c=20 d=2.54268 t=10412
tao bao 	淘寶	c=12 d=1.00965 t=8593
tao bao gou a mi 	淘寶夠阿彌	c=4 d=1.00001 t=5801
tao bao gou mai 	淘寶購買	c=302 d=3.8467 t=8598
tao bao mai de 	淘寶買的	c=1 d=1 t=4227
tao bao shang 	淘寶上	c=1 d=1 t=4146
tao bao shu xue 	淘寶數學	c=1 d=1 t=1830
tao lun 	討論	c=2 d=1.57407 t=4425
te 	特	c=1 d=1 t=1859
te bie 	特別	c=0 d=0.1 t=5125
te bie duo 	特別多	c=1 d=1 t=4764
te bie gui 	特別貴	c=1 d=1 t=5126
te dian 	特點	c=1 d=1 t=297
te lang pu 	特朗普	c=1 d=1 t=1862
te se 	特色	c=1 d=1 t=3172
te shu 	特殊	c=3 d=1.01398 t=9003
te xiao 	特效	c=1 d=1 t=8869
te xing 	特性	c=1 d=1 t=6096
teng 	騰	c=0 d=0.1 t=7765
teng bu chu 	騰不出	c=1 d=1 t=7766
teng xun 	騰訊	c=4 d=1.39259 t=10223
ti 	題	c=2 d=1 t=8479
ti chu 	提出	c=3 d=1 t=8761
ti gao 	提高	c=2 d=1 t=9907
ti gong 	提供	c=1 d=1 t=4960
ti huan 	替換	c=4 d=1.41066 t=9633
ti huan cheng 	替換成	c=1 d=1 t=9636
ti jiao 	提交	c=6 d=1.88577 t=10485
ti mu 	題目	c=2 d=1.01209 t=7102
ti qu 	提取	c=3 d=1.01036 t=7974
ti sheng 	提升	c=3 d=1.00377 t=7348
ti shi 	提示	c=2 d=0.1 t=10532
ti shi kuang 	提示框	c=1 d=1 t=5070
ti xi 	體系	c=6 d=1 t=10040
ti xi jie gou 	體系結構	c=1 d=1 t=7064
ti xian 	體現	c=1 d=1 t=8820
ti xing 	提醒	c=4 d=1 t=10541
ti xing 	題型	c=1 d=1 t=6022
ti xing 	體型	c=1 d=1 t=1866
ti xing zhuang che 	提醒撞車	c=1 d=1 t=4550
tian 	天	c=2 d=1.00001 t=7508
tian bao 	填報	c=1 d=1 t=10338
tian de 	填得	c=1 d=1 t=7491
tian jia 	添加	c=5 d=1.09442 t=10006
tian jia dao 	添加到	c=1 d=1 t=546
tian li 	天理	c=0 d=0.1 t=3231
tian peng 	天棚	c=0 d=0.1 t=4119
tian peng yuan shuai 	天棚元帥	c=1 d=1 t=4120
tian ruo 	天若	c=1 d=1 t=6874
tian xie 	填寫	c=0 d=0.1 t=10454
tian zhu 	天竺	c=1 d=1 t=4122
tiao 	條	c=1 d=1.04253 t=2372
tiao jian 	條件	c=2 d=1 t=7056
tiao shi 	調試	c=5 d=1.93239 t=9920
tiao zheng 	調整	c=4 d=1 t=9360
tiao zhuan 	跳轉	c=12 d=4.83904 t=9349
tie bi 	鐵壁	c=1 d=1 t=4046
tie ti 	鐵蹄	c=1 d=1 t=8461
ting 	聽	c=0 d=0.1 t=4308
ting duo 	挺多	c=1 d=1 t=7212
ting ke 	聽課	c=1 d=1 t=248
ting li 	聽力	c=15 d=2.74281 t=8516
ting ma 	聽嗎	c=1 d=1 t=4463
ting ni de 	聽你的	c=1 d=1 t=10538
ting wai 	庭外	c=0 d=0.1 t=5385
tong 	同	c=1 d=1 t=311
tong 	通	c=1 d=1 t=6106
tong bu 	同步	c=5 d=2.95551 t=6720
tong chang 	通常	c=1 d=1 t=425
tong guo 	通過	c=4 d=1.06995 t=10053
tong ji 	統計	c=0 d=0.1 t=3817
tong meng 	同盟	c=1 d=1 t=5308
tong pei 	統配	c=0 d=0.1 t=9480
tong pei fu 	通配符	c=2 d=1 t=9483
tong pei ta 	統配他	c=1 d=1 t=9481
tong shi 	同時	c=2 d=1.64726 t=1242
tong xin 	通信	c=1 d=1 t=6053
tong xing 	同行	c=1 d=1 t=3846
tong xue 	同學	c=3 d=1 t=10403
tong xue men 	同學們	c=3 d=1 t=10049
tong yi 	同一	c=1 d=1 t=9676
tong yi ge 	同一個	c=2 d=1 t=9722
tong yong 	通用	c=3 d=2.34046 t=3083
tong zhi 	統治	c=1 d=1 t=3181
tong zhi zhe 	統治者	c=1 d=1 t=3179
tou 	投	c=3 d=1.77919 t=4567
tou 	頭	c=4 d=1.00125 t=4128
tou bi 	投幣	c=1 d=1 t=3429
tou de 	投的	c=1 d=1 t=4287
tou gao 	投稿	c=9 d=2.30274 t=5091
tou gao shi jian 	投稿時間	c=1 d=1 t=4484
tou gao shi pin 	投稿視頻	c=1 d=1 t=4498
tou jie dian 	頭結點	c=1 d=1 t=2324
tou le 	投了	c=1 d=1 t=3434
tou liang tian 	頭兩天	c=1 d=1 t=1061
tou mao 	頭毛	c=1 d=1 t=6937
tou ming 	透明	c=2 d=1.7827 t=8826
tou mu 	頭目	c=1 d=1 t=8004
tou nao 	頭腦	c=1 d=1 t=6938
tou wei 	頭尾	c=1 d=1 t=2236
tou wen jian 	頭文件	c=8 d=1.78517 t=9944
tu 	圖	c=9 d=0.390213 t=3334
tu biao 	圖標	c=1 d=1 t=2078
tu jie 	圖解	c=7 d=3.78811 t=9584
tu jie gou 	圖結構	c=1 d=1 t=2275
tu ling 	圖靈	c=1 d=1 t=3539
tu pian 	圖片	c=5 d=1.01477 t=8866
tu pu 	圖譜	c=1 d=1 t=3528
tu ran 	突然	c=2 d=1 t=2859
tu shang 	圖上	c=2 d=1.98511 t=2603
tu shu guan 	圖書館	c=5 d=1.3414 t=9596
tu xiang 	圖像	c=1 d=1 t=3077
tu xing 	圖形	c=1 d=1 t=304
tu xing xue 	圖形學	c=2 d=1.46301 t=1211
tu zhong 	圖中	c=1 d=1 t=2749
tui chu 	退出	c=1 d=0.100002 t=9336
tui jian 	推薦	c=5 d=1.03673 t=7723
tuo pu 	拓撲	c=3 d=2.81288 t=2597
v 	∨	c=3 d=1.52208 t=2394
wa 	哇	c=1 d=1 t=7512
wai 	外	c=1 d=1 t=3197
wai bu 	外部	c=2 d=1.65522 t=468
wai bu ku 	外部庫	c=2 d=1.99005 t=422
wai guo 	外國	c=3 d=2.94092 t=3613
wai hang 	外行	c=1 d=1 t=8677
wai yi 	外衣	c=1 d=1 t=3209
wai yu 	外語	c=1 d=1 t=1810
wan 	完	c=2 d=1 t=9558
wan 	萬	c=1 d=1 t=949
wan cheng 	完成	c=1 d=1 t=8207
wan le 	完了	c=1 d=1 t=8018
wan men 	萬門	c=5 d=4.77414 t=972
wan neng 	萬能	c=0 d=0.1 t=8941
wan neng de 	萬能的	c=1 d=1 t=8942
wan quan 	完全	c=3 d=1.54416 t=3975
wan shang 	晚上	c=1 d=1 t=10419
wan xing tian kong 	完型填空	c=1 d=1 t=1863
wang 	忘	c=1 d=1 t=9712
wang 	王	c=6 d=1.20378 t=8570
wang 	網	c=1 d=0.102117 t=6028
wang dao 	王道	c=2 d=1.89137 t=2827
wang hong mei 	網紅梅	c=1 d=1 t=6029
wang ji 	忘記	c=3 d=1.0299 t=9268
wang ke 	網課	c=1 d=1 t=2667
wang le 	忘了	c=2 d=1 t=10184
wang luo 	網絡	c=39 d=2.57573 t=8756
wang pan 	網盤	c=4 d=1 t=7594
wang shang 	網上	c=3 d=1 t=8669
wang shi 	往事	c=1 d=1 t=5302
wang wang 	往往	c=1 d=1 t=801
wang yang ming 	王陽明	c=4 d=1.47408 t=3792
wang ye 	網頁	c=3 d=0.1 t=10583
wang ye ban 	網頁版	c=1 d=1 t=10584
wang yi 	網易	c=3 d=0.107883 t=5260
wang yi gong kai ke 	網易公開課	c=1 d=1 t=4069
wang yi ming 	王一名	c=1 d=1 t=8060
wang yi yun 	網易雲	c=1 d=1 t=5261
wang yi yun 	網疑雲	c=1 d=1 t=5258
wang zhan 	網站	c=5 d=1.00303 t=8863
wang zhi 	網址	c=1 d=1 t=6130
wei 	喂	c=1 d=1 t=10532
wei 	未	c=0 d=0.1 t=6668
wei 	爲	c=10 d=1.57407 t=9427
wei 	維	c=1 d=1 t=7574
wei 	衛	c=1 d=1 t=6183
wei bao cun 	未保存	c=1 d=1 t=6669
wei da 	偉大	c=1 d=1 t=3531
wei ding yi 	未定義	c=1 d=1 t=616
wei duan 	尾端	c=1 d=1 t=909
wei he 	爲何	c=2 d=1.58567 t=3987
wei ji fen 	微積分	c=5 d=1.07647 t=3536
wei jin 	違禁	c=2 d=1.90937 t=129
wei jin 	魏晉	c=1 d=1 t=3201
wei jun 	僞軍	c=0 d=0.1 t=3600
wei ke 	唯課	c=1 d=1 t=1807
wei kong 	爲空	c=1 d=1 t=2322
wei kuan 	位寬	c=1 d=1 t=10307
wei le 	爲了	c=2 d=1 t=6231
wei shen 	爲什	c=1 d=1 t=4648
wei shen me 	爲什麼	c=6 d=1.00028 t=5911
wei shu 	位數	c=1 d=1 t=10316
wei shu 	尾數	c=1 d=1 t=3408
wei tu 	位圖	c=1 d=1 t=220
wei xin 	微信	c=4 d=1.95428 t=8758
wei xiu 	維修	c=1 d=1 t=3782
wei yi 	唯一	c=0 d=0.1 t=9874
wei zhi 	位置	c=10 d=1.63458 t=10595
wen 	問	c=2 d=1.00026 t=8482
wen 	文	c=1 d=1 t=6353
wen ben 	文本	c=2 d=0.266127 t=9886
wen ben xian 	文本線	c=2 d=1.98511 t=9890
wen dang 	文檔	c=10 d=2.91144 t=9352
wen ding ban 	穩定版	c=1 d=1 t=6632
wen du 	文都	c=2 d=1 t=9141
wen du 	溫度	c=1 d=1 t=9142
wen fa 	文法	c=5 d=1.3044 t=10203
wen hua 	文化	c=3 d=2.93635 t=3615
wen jian 	文件	c=46 d=3.89077 t=9954
wen jian jia 	文件夾	c=3 d=1.18268 t=9665
wen jian ming 	文件名	c=2 d=1.07353 t=10216
wen le 	問了	c=1 d=1 t=10400
wen ming 	文明	c=1 d=1 t=7768
wen ni 	問你	c=0 d=0.1 t=10358
wen ni jian shi 	問你件事	c=3 d=2.40505 t=10459
wen qing chu 	問清楚	c=1 d=1.0381 t=10378
wen ti 	問題	c=22 d=1.08795 t=9096
wen wen 	問問	c=3 d=2.65391 t=10155
wen xian 	文獻	c=3 d=2.79187 t=7276
wen xin 	溫馨	c=1 d=1 t=2861
wen xue 	文學	c=1 d=1 t=3108
wen yi xia 	問一下	c=5 d=1.00653 t=8925
wen zhang 	文章	c=2 d=1.01916 t=9744
wen zi 	文字	c=1 d=0.100005 t=4006
wen zi ban 	文字版	c=1 d=1 t=4007
wo 	我	c=97 d=8.61064 t=10598
wo ba 	我爸	c=4 d=3.19061 t=10180
wo bing bu xiang 	我並不像	c=1 d=1 t=4329
wo bu ming bai 	我不明白	c=1 d=1 t=4202
wo bu tai 	我不太	c=1 d=1 t=72
wo cheng ren 	我承認	c=1 d=1 t=4347
wo de 	我的	c=7 d=1.00061 t=10450
wo dian nao 	我電腦	c=1 d=1 t=5064
wo dou 	我都	c=1 d=1 t=7402
wo fa bu 	我發佈	c=2 d=1.60957 t=4319
wo gan jue 	我感覺	c=2 d=1.50158 t=7426
wo gang gang 	我剛剛	c=2 d=1 t=10582
wo gen ju 	我根據	c=1 d=1 t=4958
wo hai shi 	我還是	c=1 d=1 t=8902
wo hao 	我好	c=1 d=1 t=5350
wo hen duo 	我很多	c=1 d=1 t=4148
wo ji ran 	我既然	c=1 d=1 t=4188
wo jiu 	我就	c=1 d=1 t=4652
wo jiu shi 	我就是	c=2 d=1.01246 t=8496
wo jue de 	我覺得	c=2 d=1.43387 t=4619
wo ke neng 	我可能	c=1 d=1 t=10426
wo ke yi 	我可以	c=3 d=1.8734 t=7868
wo li jie 	我理解	c=1 d=1 t=4594
wo man 	我慢	c=1 d=1 t=4615
wo mei 	我沒	c=1 d=1 t=10141
wo men 	我們	c=17 d=0.951229 t=10635
wo ren wei 	我認爲	c=1 d=0.852144 t=10635
wo ru guo 	我如果	c=1 d=1 t=4503
wo shan chu 	我刪除	c=4 d=2.10314 t=4964
wo shi 	我是	c=1 d=1 t=1534
wo shi xian 	我實現	c=1 d=1 t=4236
wo shuo 	我說	c=1 d=1 t=4286
wo wen qing chu 	我問清楚	c=1 d=1 t=10186
wo xi wang 	我希望	c=3 d=1.66375 t=4417
wo xia ban 	我下班	c=1 d=1 t=4750
wo xian zai 	我現在	c=4 d=2.59411 t=8254
wo xiang 	我想	c=6 d=1.00626 t=8924
wo xue xi 	我學習	c=1 d=1 t=7912
wo ye 	我也	c=8 d=2.01891 t=8214
wo ye mei you 	我也沒有	c=1 d=1 t=4580
wo ye you 	我也有	c=1 d=1 t=4817
wo yi jing 	我已經	c=6 d=1.00002 t=10420
wo yi ran 	我依然	c=0 d=0.1 t=4353
wo yi ran ren shi 	我依然認識	c=1 d=1 t=4354
wo yi wei 	我以爲	c=1 d=1 t=7604
wo yi xia 	我一下	c=1 d=1 t=6550
wo ying gai 	我應該	c=1 d=1 t=8540
wo you 	我有	c=1 d=1 t=7741
wo you xie 	我有些	c=2 d=1.9802 t=10603
wo yuan lai 	我原來	c=1 d=1 t=4365
wo zai 	我在	c=2 d=1 t=9593
wo zhao 	我找	c=0 d=0.1 t=5102
wo zhao le 	我找了	c=1 d=1 t=5103
wo zhe bian 	我這邊	c=1 d=1 t=4542
wo zhe li 	我這裏	c=1 d=1 t=10345
wo zhi dao 	我知道	c=1 d=1 t=7340
wo zhi jie 	我直接	c=1 d=1 t=5234
wo zuo 	我做	c=1 d=1 t=6564
wu 	五	c=1 d=1 t=10021
wu 	吳	c=1 d=1 t=187
wu 	無	c=4 d=1 t=10347
wu 	物	c=1 d=1 t=5178
wu cao zuo 	誤操作	c=2 d=1.89583 t=7636
wu guan 	無關	c=2 d=1.00006 t=9750
wu hui 	誤會	c=2 d=1.79852 t=4677
wu kong 	悟空	c=1 d=1 t=4118
wu lian wang 	物聯網	c=16 d=1.57986 t=6112
wu pin 	物品	c=1 d=1 t=8722
wu qian qu 	無前驅	c=1 d=1 t=2591
wu qiong da 	無窮大	c=2 d=1.5975 t=2493
wu quan 	無權	c=0 d=0.1 t=2362
wu quan tu 	無權圖	c=1 d=1 t=2363
wu ren 	無人	c=1 d=1 t=8827
wu ru 	侮辱	c=3 d=1.15871 t=5145
wu shen lun 	無神論	c=1 d=1 t=4913
wu xiang tu 	無向圖	c=12 d=3.19602 t=2795
wu xuan 	誤選	c=1 d=1 t=4865
wu zhuang 	武裝	c=1 d=1 t=2816
wu zi mu 	無字幕	c=1 d=1 t=1112
wu zi qi 	五子棋	c=1 d=1 t=1378
xi 	錫	c=0 d=0.1 t=7067
xi du 	吸毒	c=1 d=1 t=4850
xi guan 	習慣	c=2 d=1.94099 t=10635
xi guan le 	習慣了	c=1 d=1 t=7982
xi huan 	喜歡	c=5 d=1.89455 t=9697
xi jie 	細節	c=2 d=1 t=8478
xi la 	希臘	c=1 d=1 t=9897
xi lie 	系列	c=2 d=1.99005 t=5487
xi shu 	稀疏	c=0 d=0.1 t=2118
xi shu tu 	稀疏圖	c=1 d=1 t=2119
xi ti 	習題	c=0 d=0.1 t=3317
xi tong 	系統	c=28 d=1.1052 t=10248
xi tong shuo ming 	系統說明	c=1 d=1 t=10249
xi wang 	希望	c=20 d=1.00044 t=10048
xi wang da jia 	希望大家	c=1 d=1 t=3404
xi wen 	西文	c=1 d=1 t=279
xi you ji 	西遊記	c=3 d=1 t=6984
xia 	下	c=9 d=2.10433 t=10014
xia ban 	下班	c=1 d=1.06907 t=4823
xia biao 	下標	c=6 d=4.0955 t=2516
xia de 	下的	c=1 d=1 t=2978
xia ding 	下定	c=1 d=1 t=8975
xia hong 	夏宏	c=1 d=1 t=5646
xia ke 	俠客	c=1 d=1 t=6334
xia mian 	下面	c=5 d=1.43171 t=6425
xia ti 	下體	c=1 d=1 t=3553
xia yi 	下一	c=0 d=0.1 t=2201
xia yi 	狹義	c=4 d=3.8453 t=9251
xia yi ge 	下一個	c=6 d=1.04169 t=10303
xia yi pian 	下一篇	c=1 d=1 t=8044
xia yi tiao 	下一條	c=1 d=1 t=2202
xia yu 	下雨	c=1 d=1 t=1496
xia zai 	下載	c=13 d=1.00325 t=9446
xia zhou 	下週	c=2 d=1.00017 t=8265
xian 	先	c=2 d=1 t=8437
xian 	線	c=1 d=0.1 t=9886
xian bu 	先不	c=0 d=0.1 t=10463
xian bu zhao ji 	先不着急	c=1 d=1 t=10464
xian cheng 	線程	c=14 d=7.00259 t=1557
xian dai 	現代	c=2 d=1.94649 t=2975
xian dan 	霰彈	c=0 d=0.1 t=2814
xian dan qiang 	霰彈槍	c=1 d=1 t=2815
xian hou 	先後	c=1 d=1 t=3826
xian ka 	顯卡	c=4 d=3.78956 t=8308
xian she zhi 	先設置	c=1 d=1 t=2491
xian shi 	顯示	c=15 d=1.37508 t=10213
xian xing dai shu 	線性代數	c=8 d=1.00049 t=3814
xian zai 	現在	c=24 d=3.77487 t=10628
xiang 	像	c=9 d=1.40735 t=9788
xiang 	向	c=3 d=1.00779 t=9354
xiang 	想	c=8 d=1.00001 t=7736
xiang 	相	c=1 d=1 t=5642
xiang cheng 	相乘	c=2 d=1.97045 t=5663
xiang dang 	相當	c=1 d=1 t=9222
xiang de 	想得	c=1 d=1 t=8993
xiang dui 	相對	c=3 d=1.05366 t=10569
xiang fa 	想法	c=1 d=1 t=2087
xiang guan 	相關	c=5 d=0.100005 t=5096
xiang guan du 	相關度	c=1 d=1 t=5097
xiang hou 	向後	c=1 d=1 t=9252
xiang hou yi 	向後移	c=1 d=1 t=10
xiang hu 	相互	c=1 d=1 t=4617
xiang jian 	相減	c=1 d=1 t=5664
xiang liang 	向量	c=2 d=1 t=8848
xiang mu 	項目	c=1 d=1 t=6136
xiang shang 	向上	c=2 d=1.97531 t=8380
xiang shen me 	想什麼	c=1 d=1 t=2092
xiang shuo 	想說	c=1 d=1 t=3270
xiang tong 	相同	c=4 d=1 t=9726
xiang tong ci hui 	相同詞彙	c=1 d=1 t=6699
xiang wen 	想問	c=1 d=0.12692 t=8466
xiang wen ni 	想問你	c=1 d=1 t=8467
xiang wen yi xia 	像問一下	c=1 d=1 t=5344
xiang wen yi xia 	想問一下	c=3 d=1.01102 t=7691
xiang xi 	詳細	c=1 d=1 t=319
xiang xian zai 	想現在	c=1 d=1 t=4730
xiang xiang 	想想	c=1 d=1 t=4412
xiang xin 	相信	c=3 d=0.100008 t=5752
xiang yao 	想要	c=0 d=0.1 t=7774
xiang yao yi xia 	想要一下	c=1 d=1 t=7775
xiang ying 	相應	c=2 d=1 t=6682
xiang yong 	想用	c=2 d=1 t=10220
xiao 	孝	c=1 d=1 t=2069
xiao 	小	c=7 d=0.100006 t=9276
xiao bu 	小布	c=1 d=1 t=290
xiao gong neng 	小功能	c=1 d=1 t=9277
xiao gu shi 	小故事	c=1 d=1 t=5578
xiao guo 	效果	c=6 d=1.00001 t=9074
xiao guo hao 	效果好	c=1 d=1 t=256
xiao jia 	小甲	c=0 d=0.1 t=1422
xiao jia yu 	小甲魚	c=1 d=1 t=1423
xiao lang hao 	小狼毫	c=1 d=1 t=10635
xiao lv 	效率	c=1 d=1 t=4097
xiao pian duan 	小片段	c=1 d=1 t=6585
xiao shi 	小時	c=2 d=1.94649 t=1591
xiao shi 	消失	c=1 d=1 t=5266
xiao shu dian 	小數點	c=1 d=1 t=10313
xiao si 	小四	c=2 d=1.41478 t=267
xiao tou 	小頭	c=1 d=1 t=4129
xiao wu gui 	小烏龜	c=1 d=1 t=1872
xiao xi 	消息	c=2 d=1.63763 t=1122
xiao xiao 	宵小	c=1 d=1 t=3777
xiao xie 	小寫	c=2 d=1.99501 t=8434
xiao ya 	肖雅	c=7 d=2.42487 t=10612
xiao yuan ka 	校園卡	c=1 d=1 t=10110
xie 	些	c=1 d=1 t=892
xie 	寫	c=5 d=1.01099 t=9456
xie cheng 	寫成	c=1 d=1 t=9716
xie ru 	寫入	c=2 d=1 t=9461
xie xie 	謝謝	c=29 d=2.71419 t=10609
xie zi 	寫字	c=1 d=1 t=8978
xie zuo 	寫作	c=2 d=1.0251 t=8160
xin 	心	c=1 d=1 t=3190
xin 	新	c=9 d=1.00231 t=9231
xin ban 	新版	c=1 d=0.895834 t=10635
xin ban ben 	新版本	c=1 d=1 t=6625
xin de 	新的	c=3 d=1 t=9204
xin dong fang 	新東方	c=4 d=1.13946 t=8314
xin fu 	信服	c=1 d=1 t=8837
xin guan 	新冠	c=1 d=1 t=7989
xin jian 	新建	c=1 d=1 t=6580
xin ku 	辛苦	c=2 d=1.00001 t=7788
xin ku le 	辛苦了	c=1 d=1 t=5525
xin lai 	芯來	c=1 d=1 t=6435
xin lang 	新浪	c=0 d=0.1 t=7186
xin lang you xiang 	新浪郵箱	c=1 d=1 t=7187
xin mei ti 	新媒體	c=2 d=1.98511 t=5841
xin qing 	心情	c=1 d=1 t=4596
xin tuo 	信託	c=2 d=1.89137 t=8828
xin wen jian 	新文件	c=2 d=1 t=9377
xin xi 	信息	c=12 d=1.99609 t=10526
xin xue 	心學	c=2 d=1.20393 t=3595
xin yong ka 	信用卡	c=1 d=1 t=5879
xin zhao dao 	新找到	c=1 d=1 t=2513
xing 	型	c=2 d=1 t=8325
xing 	性	c=1 d=1 t=656
xing 	星	c=1 d=1.099 t=5384
xing 	行	c=1 d=1 t=4105
xing cheng 	形成	c=2 d=1.00176 t=2551
xing dong 	行動	c=3 d=2.33905 t=5848
xing dong li 	行動力	c=1 d=1 t=4100
xing huo 	星火	c=3 d=2.26229 t=8995
xing huo shi 	星火式	c=1 d=1 t=8915
xing neng 	性能	c=5 d=1.00062 t=9908
xing qu 	興趣	c=1 d=1 t=74
xing shi 	形式	c=2 d=1.00023 t=10322
xing wei 	行爲	c=2 d=1.00029 t=5570
xing xiang 	形象	c=2 d=1.99005 t=5609
xing yu 	性慾	c=0 d=0.1 t=2108
xiong di 	兄弟	c=1 d=1 t=4036
xiong di lian 	兄弟連	c=2 d=1.98511 t=1489
xiu 	休	c=1 d=1 t=8785
xiu bu 	修補	c=0 d=0.1 t=8783
xiu bu xiu xi 	修補休息	c=1 d=1 t=8784
xiu ding 	修訂	c=1 d=1 t=2925
xiu gai 	修改	c=12 d=1.55943 t=10635
xiu mi 	秀米	c=1 d=1 t=6740
xiu xi 	休息	c=9 d=1.79552 t=8908
xu 	徐	c=1 d=1 t=166
xu 	虛	c=0 d=0.1956 t=9588
xu duo 	許多	c=0 d=0.1 t=7727
xu duo le 	許多了	c=1 d=1 t=7728
xu han shu 	續漢書	c=1 d=1 t=9579
xu han shu 	虛函數	c=1 d=1 t=9580
xu huan 	虛幻	c=1 d=1 t=1137
xu lie 	序列	c=1 d=1 t=9829
xu lun 	緒論	c=4 d=2.98458 t=10204
xu yan 	序言	c=2 d=1.99005 t=6196
xu yao 	需要	c=27 d=0.995012 t=10635
xuan 	玄	c=1 d=1 t=3211
xuan 	選	c=0 d=0.1 t=8191
xuan chuan 	宣傳	c=1 d=1 t=4938
xuan chuan pian 	宣傳片	c=1 d=1 t=10231
xuan ci 	選詞	c=1 d=1 t=6702
xuan hao 	選好	c=1 d=1 t=5231
xuan ke 	選課	c=0 d=0.1 t=6543
xuan qu 	選取	c=1 d=1 t=2561
xuan xiang 	選項	c=11 d=1.97065 t=10365
xuan xiu ke 	選修課	c=2 d=1.0135 t=9110
xuan xu 	玄虛	c=1 d=1 t=8675
xuan xue 	玄學	c=1 d=1 t=3202
xuan ze 	選擇	c=4 d=1.00001 t=6687
xuan ze xian 	選擇線	c=1 d=1 t=3089
xuan zhuan 	旋轉	c=3 d=2.79616 t=3642
xue 	學	c=7 d=1.04496 t=7886
xue 	血	c=2 d=1.99501 t=5493
xue 	雪	c=2 d=1.00149 t=6796
xue fen 	學分	c=2 d=1.96079 t=8243
xue guo 	學過	c=2 d=1.0002 t=8935
xue jie 	學姐	c=8 d=2.41831 t=10508
xue leng 	血冷	c=1 d=1 t=5491
xue tang 	學堂	c=3 d=1.00001 t=10230
xue wei 	學位	c=3 d=1.63764 t=10432
xue xi 	學習	c=44 d=1.75819 t=9109
xue xi li 	學習力	c=1 d=1 t=1842
xue xiao 	學校	c=7 d=1.09633 t=10062
xue yuan 	學院	c=1 d=1 t=3416
xue zhan 	血戰	c=1 d=1 t=5743
xue zhang 	學長	c=1 d=1 t=37
xun huan 	循環	c=5 d=1 t=8145
xun lian 	訓練	c=0 d=0.1 t=4100
xun lian ke 	訓練課	c=1 d=1 t=4101
xun zhao 	尋找	c=3 d=1 t=6662
ya pian 	鴉片	c=1 d=1 t=3784
ya suo 	壓縮	c=2 d=1.01145 t=9999
ya ti 	押題	c=1 d=1 t=1898
ya yun 	押運	c=1 d=1 t=2817
ya zhi 	壓制	c=2 d=1 t=9997
yan 	炎	c=1 d=1 t=7992
yan 	研	c=1 d=1.01044 t=3342
yan 	言	c=1 d=1 t=995
yan ge 	嚴格	c=1 d=1 t=1086
yan jiang 	演講	c=4 d=1.00051 t=3102
yan jiu sheng 	研究生	c=2 d=1 t=10544
yan kan 	眼看	c=0 d=0.1 t=2409
yan kan bu kan 	眼看不看	c=1 d=1 t=2410
yan lun 	言論	c=1 d=1 t=5147
yan se 	顏色	c=2 d=1.92774 t=1018
yan shi 	掩飾	c=1 d=1 t=3902
yan shi 	演示	c=3 d=1.00023 t=2547
yan zhao wang 	研招網	c=2 d=1.20598 t=10562
yang 	楊	c=4 d=1.99005 t=8015
yang 	樣	c=1 d=1 t=7128
yang bing xue 	楊秉學	c=7 d=1.07549 t=9714
yang shi 	央視	c=4 d=1.20292 t=5502
yang zi 	樣子	c=2 d=1.0012 t=8683
yao 	要	c=10 d=1 t=10627
yao bu 	要不	c=3 d=1.00001 t=9918
yao qi zhi 	姚期智	c=2 d=1.99501 t=10259
yao qiu 	要求	c=2 d=1.08511 t=8168
yao qiu ma 	要求嗎	c=1 d=1 t=8169
yao she 	要射	c=1 d=1 t=2096
yao shi 	要是	c=7 d=1 t=10445
yao shi zhao 	要是找	c=1 d=1 t=4241
yao shuo 	要說	c=1 d=1 t=7236
yao yi xia 	要一下	c=1 d=1 t=7823
yao you 	要有	c=2 d=1 t=8357
yao zhao 	要找	c=1 d=1 t=2775
yao zhi xiang 	要指向	c=1 d=1 t=2323
ye 	也	c=14 d=1.76845 t=10176
ye 	頁	c=7 d=2.00048 t=10276
ye bu 	也不	c=0 d=0.102858 t=8888
ye bu hui 	也不會	c=2 d=1 t=8883
ye bu neng 	也不能	c=2 d=1 t=4231
ye bu shi 	也不是	c=4 d=1 t=8941
ye bu suan 	也不算	c=1 d=1 t=5136
ye bu xi huan 	也不喜歡	c=1 d=1 t=8085
ye bu xu yao 	也不需要	c=1 d=1 t=8889
ye bu zen me 	也不怎麼	c=1 d=1 t=8178
ye dou shi 	也都是	c=1 d=1 t=7260
ye hai zi 	野孩子	c=1 d=1 t=4535
ye hao 	也好	c=0 d=0.1 t=7640
ye hen dui 	也很對	c=1 d=1 t=8489
ye hui 	也會	c=1 d=1 t=878
ye jiao 	也叫	c=1 d=1 t=2737
ye jiu 	也就	c=3 d=1 t=8521
ye jiu shi 	也就是	c=1 d=1 t=10620
ye ke yi 	也可以	c=2 d=1 t=9477
ye ma 	頁碼	c=1 d=1 t=988
ye mei 	也沒	c=1 d=1 t=3717
ye mei shen me 	也沒什麼	c=2 d=1.80252 t=4673
ye mei you 	也沒有	c=4 d=2.88839 t=3694
ye mian 	頁面	c=5 d=1 t=10240
ye neng 	也能	c=1 d=1 t=7239
ye shi 	也是	c=2 d=1 t=8991
ye wen 	葉問	c=2 d=1.00006 t=5935
ye xi wang 	也希望	c=1 d=1 t=4790
ye xing 	野性	c=2 d=1.94176 t=5191
ye xu 	也許	c=2 d=1.94176 t=4935
ye xu yao 	也許要	c=2 d=1 t=7882
